Order,Time,layers,,Order,Time,layers
1,9.781708717,2,,2,2.545874834,2
1,9.869925022,2,,2,2.544193745,2
1,10.08422732,2,,2,2.540655136,2
1,9.804479599,2,,2,2.540607452,2
1,9.842354059,2,,2,2.594083786,2
1,9.963400126,2,,2,2.529263735,2
1,9.821228504,2,,2,2.527519464,2
1,9.848621368,2,,2,2.559030056,2
1,9.791507483,2,,2,2.604705334,2
1,10.88194895,2,,2,2.58805871,2
1,9.825222492,2,,2,2.53337121,2
1,9.814703226,2,,2,2.561691761,2
1,9.863880634,2,,2,2.583518267,2
1,9.810455322,2,,2,2.589790106,2
1,9.923952818,2,,2,2.551338673,2
,9.92850771,,,,,
